utm_x	utm_y	yaw	 roadwheelAngle	 speed	 angular_velocity_x	 y	 z	 linear_acc_x	 y	 z	 lat_err	 yaw_err	 longitude	 latitude
671403.624	3529321.630	2.289	1.222	0.000	0.000	-0.000	0.000	0.001	-0.003	0.003	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.630	2.289	1.222	0.000	0.000	-0.000	0.000	0.004	-0.001	0.005	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.630	2.289	1.222	0.000	0.000	0.000	0.000	0.006	0.000	-0.001	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.630	2.289	1.222	0.000	-0.000	0.000	-0.000	-0.001	-0.001	-0.005	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.630	2.289	1.222	0.000	-0.000	0.000	-0.000	-0.000	-0.004	-0.012	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.630	2.289	1.222	0.000	0.000	0.000	0.000	0.002	0.003	0.000	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.630	2.289	1.222	0.000	-0.000	0.000	-0.000	-0.002	0.004	0.006	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.630	2.289	1.222	0.000	0.000	-0.000	0.000	-0.008	-0.000	0.007	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.630	2.289	1.222	0.000	-0.000	-0.000	-0.000	-0.008	0.002	0.007	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.630	2.289	1.222	0.000	0.000	-0.000	0.000	-0.007	-0.004	0.001	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.630	2.289	1.222	0.000	0.000	-0.000	0.000	-0.004	0.002	-0.005	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.630	2.289	1.222	0.000	-0.000	-0.000	-0.000	0.002	0.007	0.000	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.630	2.289	1.222	0.000	0.000	0.000	0.000	-0.004	-0.003	-0.003	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.630	2.289	1.222	0.000	-0.000	0.000	-0.000	0.003	0.003	-0.000	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.630	2.289	1.222	0.000	-0.000	0.000	-0.000	0.007	-0.002	0.002	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.630	2.289	1.222	0.000	-0.000	-0.000	-0.000	0.000	-0.003	0.001	1.080	-0.248	118.8122948	31.8868085
671403.623	3529321.630	2.289	1.222	0.000	-0.000	0.000	-0.000	0.002	0.002	0.004	1.080	-0.248	118.8122948	31.8868085
671403.623	3529321.630	2.289	1.222	0.000	-0.000	0.000	-0.000	0.001	0.002	-0.002	1.080	-0.248	118.8122948	31.8868085
671403.623	3529321.630	2.289	1.222	0.000	0.000	0.000	0.000	-0.008	0.004	-0.009	1.080	-0.248	118.8122948	31.8868085
671403.623	3529321.630	2.289	1.222	0.000	-0.000	-0.000	-0.000	-0.006	0.006	-0.000	1.080	-0.248	118.8122948	31.8868085
671403.623	3529321.630	2.289	1.222	0.000	-0.000	-0.000	-0.000	-0.005	0.001	-0.003	1.080	-0.248	118.8122948	31.8868085
671403.623	3529321.630	2.289	1.222	0.000	-0.000	-0.000	-0.000	-0.003	0.003	0.003	1.080	-0.248	118.8122948	31.8868085
671403.623	3529321.630	2.289	1.222	0.000	0.000	-0.000	0.000	-0.000	-0.003	0.005	1.080	-0.248	118.8122948	31.8868085
671403.623	3529321.630	2.289	1.222	0.000	0.000	0.001	0.000	-0.001	-0.004	0.004	1.080	-0.248	118.8122948	31.8868085
671403.623	3529321.630	2.289	1.222	0.000	0.000	-0.000	0.000	0.005	-0.001	0.001	1.080	-0.248	118.8122948	31.8868085
671403.623	3529321.630	2.289	1.222	0.000	-0.000	-0.000	-0.000	0.006	-0.001	-0.010	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.630	2.289	1.222	0.000	0.000	-0.000	0.000	0.006	0.005	-0.010	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.630	2.289	1.222	0.000	0.000	-0.000	0.000	0.006	0.010	-0.001	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.630	2.289	1.222	0.000	-0.000	0.000	-0.000	-0.002	-0.000	0.001	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.630	2.289	1.222	0.000	-0.000	-0.000	-0.000	-0.005	0.003	0.005	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.630	2.289	1.222	0.000	-0.000	-0.000	-0.000	-0.006	-0.003	0.003	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.630	2.289	1.222	0.000	0.000	-0.000	0.000	-0.004	0.000	0.003	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.630	2.289	1.222	0.000	-0.000	-0.000	-0.000	-0.012	-0.004	-0.001	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.630	2.289	1.222	0.000	-0.000	0.000	-0.000	-0.004	-0.002	-0.006	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.630	2.289	1.222	0.000	-0.000	-0.000	-0.000	-0.002	0.000	-0.005	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.630	2.289	1.222	0.000	0.000	0.000	0.000	-0.007	0.001	-0.011	1.080	-0.248	118.8122948	31.8868085
671403.623	3529321.631	2.289	1.222	0.000	0.000	-0.000	0.000	-0.004	-0.002	-0.004	1.080	-0.248	118.8122948	31.8868085
671403.623	3529321.631	2.289	1.222	0.000	0.000	0.000	0.000	0.005	0.001	0.004	1.080	-0.248	118.8122948	31.8868085
671403.623	3529321.631	2.289	1.222	0.000	0.000	-0.000	0.000	0.009	0.001	-0.000	1.080	-0.248	118.8122948	31.8868085
671403.623	3529321.631	2.289	1.222	0.000	0.000	0.000	0.000	0.007	0.006	0.003	1.080	-0.248	118.8122948	31.8868085
671403.623	3529321.631	2.289	1.222	0.000	-0.000	0.000	-0.000	-0.003	-0.001	-0.004	1.080	-0.248	118.8122948	31.8868085
671403.623	3529321.631	2.289	1.222	0.000	-0.000	0.000	-0.000	-0.003	0.003	-0.003	1.080	-0.248	118.8122948	31.8868085
671403.623	3529321.631	2.289	1.222	0.000	-0.000	0.000	-0.000	-0.004	-0.003	-0.004	1.080	-0.248	118.8122948	31.8868085
671403.623	3529321.631	2.289	1.222	0.000	-0.000	0.001	-0.000	-0.005	0.001	-0.005	1.080	-0.248	118.8122948	31.8868085
671403.623	3529321.631	2.289	1.222	0.000	-0.000	0.000	-0.000	-0.008	-0.008	-0.003	1.080	-0.248	118.8122948	31.8868085
671403.623	3529321.631	2.289	1.222	0.000	-0.000	-0.000	-0.000	-0.004	0.005	0.006	1.080	-0.248	118.8122948	31.8868085
671403.623	3529321.631	2.289	1.222	0.000	-0.000	-0.000	-0.000	0.000	0.002	0.004	1.080	-0.248	118.8122948	31.8868085
671403.623	3529321.631	2.289	1.222	0.000	-0.000	-0.000	-0.000	0.001	-0.001	0.003	1.080	-0.248	118.8122948	31.8868085
671403.623	3529321.631	2.289	1.222	0.000	-0.000	-0.000	-0.000	0.011	-0.005	-0.004	1.080	-0.248	118.8122948	31.8868085
671403.623	3529321.631	2.289	1.222	0.000	-0.000	-0.000	-0.000	0.010	0.004	-0.003	1.080	-0.248	118.8122948	31.8868085
671403.623	3529321.631	2.289	1.222	0.000	0.000	0.000	0.000	0.001	0.001	-0.002	1.080	-0.248	118.8122948	31.8868085
671403.622	3529321.632	2.289	1.222	0.000	0.000	0.000	0.000	0.006	-0.004	-0.011	1.080	-0.248	118.8122948	31.8868085
671403.622	3529321.632	2.289	1.222	0.000	0.000	0.000	0.000	-0.000	0.003	0.004	1.080	-0.248	118.8122948	31.8868085
671403.622	3529321.632	2.289	1.222	0.000	0.000	0.000	0.000	-0.014	0.008	0.013	1.080	-0.248	118.8122948	31.8868085
671403.622	3529321.632	2.289	1.222	0.000	0.000	0.000	0.000	-0.003	-0.005	0.005	1.080	-0.248	118.8122948	31.8868085
671403.622	3529321.632	2.289	1.222	0.000	-0.000	0.000	-0.000	-0.008	0.001	0.003	1.080	-0.248	118.8122948	31.8868085
671403.622	3529321.632	2.289	1.222	0.000	-0.000	-0.000	-0.000	-0.002	0.008	-0.000	1.080	-0.248	118.8122948	31.8868085
671403.622	3529321.632	2.289	1.222	0.000	0.000	-0.000	0.000	-0.002	0.001	-0.002	1.080	-0.248	118.8122948	31.8868085
671403.622	3529321.632	2.289	1.222	0.000	0.000	0.000	0.000	0.002	-0.002	-0.005	1.080	-0.248	118.8122948	31.8868085
671403.622	3529321.632	2.289	1.222	0.000	0.000	0.000	0.000	-0.001	0.009	-0.001	1.080	-0.248	118.8122948	31.8868085
671403.622	3529321.632	2.289	1.222	0.000	-0.000	0.000	-0.000	0.001	-0.004	-0.002	1.080	-0.248	118.8122948	31.8868085
671403.622	3529321.632	2.289	1.222	0.000	-0.000	0.000	-0.000	0.002	-0.002	0.005	1.080	-0.248	118.8122948	31.8868085
671403.622	3529321.632	2.289	1.222	0.000	0.000	-0.001	0.000	0.006	-0.003	0.007	1.080	-0.248	118.8122948	31.8868085
671403.622	3529321.632	2.289	1.222	0.000	0.000	0.000	0.000	0.001	-0.004	0.001	1.080	-0.248	118.8122948	31.8868085
671403.622	3529321.632	2.289	1.222	0.000	0.000	0.000	0.000	0.002	-0.002	0.000	1.080	-0.248	118.8122948	31.8868085
671403.622	3529321.632	2.289	1.222	0.000	-0.000	0.000	-0.000	0.001	0.001	-0.005	1.080	-0.248	118.8122948	31.8868085
671403.622	3529321.633	2.289	1.222	0.000	0.000	0.000	0.000	-0.004	-0.001	-0.005	1.080	-0.248	118.8122948	31.8868085
671403.622	3529321.633	2.289	1.222	0.000	-0.000	0.000	-0.000	-0.006	-0.001	0.000	1.080	-0.248	118.8122948	31.8868085
671403.622	3529321.633	2.289	1.222	0.000	-0.000	0.000	-0.000	-0.004	0.005	0.002	1.080	-0.248	118.8122948	31.8868085
671403.622	3529321.633	2.289	1.222	0.000	0.000	0.000	0.000	-0.003	-0.001	0.005	1.080	-0.248	118.8122948	31.8868085
671403.622	3529321.632	2.289	1.222	0.000	0.000	-0.000	0.000	0.002	0.003	0.003	1.080	-0.248	118.8122948	31.8868085
671403.622	3529321.632	2.289	1.222	0.000	-0.000	-0.000	-0.000	0.001	-0.002	-0.001	1.080	-0.248	118.8122948	31.8868085
671403.622	3529321.632	2.289	1.222	0.000	0.000	0.000	0.000	0.007	0.003	0.001	1.080	-0.248	118.8122948	31.8868085
671403.623	3529321.632	2.289	1.222	0.000	-0.000	-0.000	-0.000	0.003	0.002	-0.003	1.080	-0.248	118.8122948	31.8868085
671403.623	3529321.632	2.289	1.222	0.000	-0.000	-0.000	-0.000	0.004	-0.001	-0.007	1.080	-0.248	118.8122948	31.8868085
671403.623	3529321.631	2.289	1.222	0.000	-0.000	0.000	-0.000	0.002	-0.003	-0.003	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.631	2.289	1.222	0.000	-0.000	-0.000	-0.000	-0.003	0.001	0.001	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.631	2.289	1.222	0.000	-0.000	0.000	-0.000	-0.005	0.001	0.004	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.631	2.289	1.222	0.000	0.000	-0.000	0.000	-0.015	-0.007	0.007	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.631	2.289	1.222	0.000	-0.000	-0.000	-0.000	-0.008	0.004	0.008	1.080	-0.248	118.8122948	31.8868085
671403.624	3529321.631	2.289	1.222	0.000	-0.000	-0.000	-0.000	0.000	0.002	0.007	1.080	-0.248	118.8122948	31.8868085
671403.625	3529321.630	2.289	1.222	0.000	-0.000	-0.000	-0.000	-0.003	0.002	-0.001	1.080	-0.248	118.8122948	31.8868085
671403.625	3529321.630	2.289	1.222	0.000	-0.000	-0.000	-0.000	0.001	-0.002	-0.001	1.080	-0.248	118.8122948	31.8868085
671403.625	3529321.630	2.289	1.222	0.000	0.000	0.000	0.000	-0.003	-0.003	-0.005	1.080	-0.248	118.8122948	31.8868085
671403.625	3529321.630	2.289	1.222	0.000	0.000	-0.000	0.000	0.006	-0.001	0.001	1.079	-0.248	118.8122948	31.8868085
671403.626	3529321.630	2.289	1.222	0.000	0.000	-0.000	0.000	0.003	0.001	0.006	1.079	-0.248	118.8122948	31.8868085
671403.626	3529321.630	2.289	1.222	0.000	-0.000	0.000	-0.000	0.001	0.002	0.005	1.079	-0.248	118.8122948	31.8868085
671403.626	3529321.630	2.289	1.222	0.000	0.000	-0.000	0.000	-0.003	-0.008	0.004	1.079	-0.248	118.8122948	31.8868085
671403.626	3529321.629	2.289	1.222	0.000	0.000	-0.000	0.000	-0.003	0.000	0.000	1.079	-0.248	118.8122948	31.8868085
671403.626	3529321.629	2.289	1.222	0.000	-0.000	-0.000	-0.000	-0.003	-0.002	-0.006	1.079	-0.248	118.8122948	31.8868085
671403.627	3529321.629	2.289	1.222	0.000	-0.000	0.000	-0.000	0.001	0.004	-0.003	1.079	-0.248	118.8122948	31.8868085
671403.627	3529321.629	2.289	1.222	0.000	-0.000	-0.000	-0.000	-0.010	-0.001	-0.004	1.079	-0.248	118.8122949	31.8868085
671403.627	3529321.629	2.289	1.222	0.000	-0.000	0.000	-0.000	-0.005	0.002	-0.000	1.079	-0.248	118.8122949	31.8868085
671403.627	3529321.629	2.289	1.222	0.000	-0.000	-0.000	-0.000	0.000	0.000	0.005	1.079	-0.248	118.8122949	31.8868085
671403.627	3529321.629	2.289	1.222	0.000	0.000	-0.000	0.000	-0.002	-0.003	-0.003	1.079	-0.248	118.8122949	31.8868085
671403.628	3529321.628	2.289	1.222	0.000	-0.000	-0.001	-0.000	0.005	0.003	-0.005	1.079	-0.248	118.8122949	31.8868085
671403.628	3529321.628	2.289	1.222	0.000	0.000	-0.000	0.000	0.000	0.003	-0.004	1.079	-0.248	118.8122949	31.8868085
671403.628	3529321.628	2.289	1.222	0.000	0.000	0.000	0.000	-0.008	-0.008	-0.003	1.079	-0.248	118.8122949	31.8868085
671403.629	3529321.628	2.289	1.222	0.000	-0.000	0.000	-0.000	-0.002	-0.001	-0.001	1.079	-0.248	118.8122949	31.8868085
671403.629	3529321.628	2.289	1.222	0.000	0.000	0.000	0.000	-0.001	-0.002	0.002	1.079	-0.248	118.8122949	31.8868085
671403.629	3529321.628	2.289	1.222	0.000	-0.000	0.000	-0.000	-0.003	-0.001	-0.002	1.079	-0.248	118.8122949	31.8868085
671403.629	3529321.628	2.289	1.222	0.000	0.000	-0.000	0.000	0.001	-0.000	-0.000	1.079	-0.248	118.8122949	31.8868085
671403.629	3529321.628	2.289	1.222	0.000	0.000	0.000	0.000	-0.003	0.000	0.002	1.079	-0.248	118.8122949	31.8868085
671403.629	3529321.628	2.289	1.222	0.000	-0.000	0.000	-0.000	-0.001	0.002	0.004	1.079	-0.248	118.8122949	31.8868085
671403.629	3529321.628	2.289	1.222	0.000	-0.000	0.000	-0.000	0.000	0.003	-0.003	1.079	-0.248	118.8122949	31.8868085
671403.629	3529321.628	2.289	1.222	0.000	-0.000	-0.000	-0.000	-0.004	0.004	-0.001	1.079	-0.248	118.8122949	31.8868085
671403.628	3529321.628	2.289	1.222	0.000	-0.000	0.000	-0.000	0.002	0.003	-0.002	1.079	-0.248	118.8122949	31.8868085
671403.628	3529321.628	2.289	1.222	0.000	0.000	-0.000	0.000	0.012	0.003	-0.001	1.079	-0.248	118.8122949	31.8868085
671403.628	3529321.628	2.289	1.222	0.000	0.000	-0.000	0.000	0.006	-0.002	-0.003	1.079	-0.248	118.8122949	31.8868085
671403.628	3529321.628	2.289	1.222	0.000	-0.000	0.000	-0.000	0.004	-0.002	-0.004	1.079	-0.248	118.8122949	31.8868085
671403.628	3529321.629	2.289	1.222	0.000	-0.000	0.000	-0.000	-0.002	0.008	-0.003	1.079	-0.248	118.8122949	31.8868085
671403.628	3529321.629	2.289	1.222	0.000	0.000	-0.000	0.000	-0.012	-0.006	0.003	1.079	-0.248	118.8122949	31.8868085
671403.628	3529321.629	2.289	1.222	0.000	-0.000	-0.000	-0.000	-0.008	-0.001	0.000	1.079	-0.248	118.8122949	31.8868085
671403.627	3529321.629	2.289	1.222	0.000	-0.000	0.000	-0.000	-0.002	0.002	-0.001	1.079	-0.248	118.8122949	31.8868085
671403.627	3529321.629	2.289	1.222	0.000	0.000	-0.000	0.000	-0.001	-0.002	-0.002	1.079	-0.248	118.8122949	31.8868085
671403.627	3529321.629	2.289	1.222	0.000	-0.000	0.000	-0.000	0.002	-0.002	-0.001	1.079	-0.248	118.8122949	31.8868085
671403.627	3529321.629	2.289	1.222	0.000	0.000	-0.000	0.000	0.005	0.002	-0.002	1.079	-0.248	118.8122949	31.8868085
671403.627	3529321.629	2.289	1.222	0.000	-0.000	0.000	-0.000	0.007	0.002	-0.000	1.079	-0.248	118.8122949	31.8868085
671403.627	3529321.630	2.289	1.222	0.000	0.000	-0.000	0.000	0.005	0.005	0.006	1.079	-0.248	118.8122948	31.8868085
671403.627	3529321.630	2.289	1.222	0.000	-0.000	0.000	-0.000	0.002	0.003	0.002	1.079	-0.248	118.8122948	31.8868085
671403.627	3529321.630	2.289	1.222	0.000	-0.000	0.000	-0.000	0.002	-0.002	-0.000	1.079	-0.248	118.8122948	31.8868085
671403.626	3529321.630	2.289	1.222	0.000	-0.000	0.000	-0.000	0.006	0.002	0.001	1.079	-0.248	118.8122948	31.8868085
671403.626	3529321.630	2.289	1.222	0.000	0.000	0.000	0.000	0.001	-0.004	0.003	1.079	-0.248	118.8122948	31.8868085
671403.626	3529321.630	2.289	1.222	0.000	-0.000	0.000	-0.000	-0.001	-0.001	0.000	1.079	-0.248	118.8122948	31.8868085
671403.626	3529321.630	2.289	1.222	0.000	-0.000	0.000	-0.000	0.002	0.003	-0.001	1.079	-0.248	118.8122948	31.8868085
671403.626	3529321.630	2.289	1.222	0.000	0.000	-0.000	0.000	0.001	0.004	0.000	1.079	-0.248	118.8122948	31.8868085
671403.626	3529321.630	2.289	1.222	0.000	0.000	0.000	0.000	-0.002	-0.002	0.003	1.079	-0.248	118.8122948	31.8868085
671403.626	3529321.630	2.289	1.222	0.000	-0.000	-0.000	-0.000	-0.007	-0.001	0.010	1.079	-0.248	118.8122948	31.8868085
671403.625	3529321.631	2.289	1.222	0.000	-0.000	0.000	-0.000	0.001	0.004	0.006	1.079	-0.248	118.8122948	31.8868085
671403.625	3529321.631	2.289	1.222	0.000	-0.000	-0.000	-0.000	-0.005	0.001	0.004	1.079	-0.248	118.8122948	31.8868085
671403.625	3529321.631	2.289	1.222	0.000	0.000	-0.000	0.000	-0.001	0.003	0.004	1.079	-0.248	118.8122948	31.8868085
671403.625	3529321.631	2.289	1.222	0.000	0.000	0.000	0.000	0.001	0.002	-0.002	1.079	-0.248	118.8122948	31.8868085
671403.625	3529321.631	2.289	1.222	0.000	0.000	-0.000	0.000	0.002	0.003	-0.001	1.079	-0.248	118.8122948	31.8868085
